location,tag_number,distribution_a,broodstock_a,distribution_b,broodstock_b,distribution_c,broodstock_c,distribution_d,broodstock_d
Battery Park Conservancy,2,7/1/2019,,,,,,,
Battery Park Conservancy,3,7/1/2019,,,,,,,
Battery Park Conservancy,4,7/1/2019,,,,,,,
"Hudson River Park, Pier 40",6,,,,,,,,
"Hudson River Park, Pier 40",7,,,,,,,,
"Hudson River Park, Pier 40",8,,,,,,,,
"Hudson River Park, Pier 26",10,,,,,,,,
"Hudson River Park, Pier 84",11,,,,,,,,
"Hudson River Park, Pier 40",12,,,,,,,,
"Hudson River Park, Pier 40",13,7/16/2019,IC,,,,,,
Baylander at West Harlem Piers,16,,,,,,,,
Dobbs Ferry,17,,,,,,,,
Baylander at West Harlem Piers,18,10/27/2017,EB,,,,,,
Baylander at West Harlem Piers,20,3/28/2018,EB,,,,,,
Baylander at West Harlem Piers,21,,,,,,,,
"Hudson River Park, Pier 40",22,,,,,,,,
"Hudson River Park, Pier 84",23,,,,,,,,
"Hudson River Park, Pier 84",24,,,,,,,,
"Hudson River Park, Pier 26",31,,,,,,,,
"Riverside Park, Pier I",36,11/28/2017,MB,6/29/2018,EB,5/1/2019,MB ,,
Mill Pond Park,37,2/5/2018,MB,,,,,,
"Riverside Park, Pier I",38,,,,,,,,
"Riverside Park, Pier I",39,,,,,,,,
"Battery Park, Pier A",41,5/11/2018,MB,,,,,,
"Hudson River Park, Pier 40",42,,,,,,,,
"Hudson River Park, Pier 40",43,,,,,,,,
"Hudson River Park, Pier 84",45,,,,,,,,
"Brooklyn Bridge Park, Pier 5",46,8/14/2018,EB,,,,,,
"Brooklyn Navy Yard, BOP Base",47,8/24/2018,GK ,,,,,,
North Fifth Street Pier,48,9/15/2018,GK,,,,,,
SIMS Recycling ,49,10/13/2017,MB,,,,,,
Bushwick Inlet,50,7/7/2020,,,,,,,
North Fifth Street Pier,51,9/20/2018,EB,,,,,,
Lower East Side Ecology Center,52,9/21/2018,MB,,,,,,
West 79th Street Boat Basin,53,,,,,,,,
Lighthouse Museum,54,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,55,,,,,,,,
SUNY Maritime,57,,,,,,,,
Lighthouse Museum,58,,,,,,,,
Lower East Side Ecology Center,59,11/30/2018,MB,11/21/19,MB,,,,
Bushwick Inlet,60,7/7/2020,,,,,,,
Stuy Cove Park,61,,,,,,,,
North First Street Pier,63,6/2/2020,CCE,,,,,,
North First Street Pier,64,6/2/2020,CCE,,,,,,
WYNC Transmitter Park,64,10/13/2020,CCE,,,,,,
Richmond County Yacht Club,65,12/7/2018,MB,,,,,,
West 79th Street Boat Basin,66,3/26/2019,MB,,,,,,
"Hudson River Park, Pier 66",69,11/14/2019,MB,,,,,,
Sheepshead Bay,70,11/5/2015,MB,,,,,,
Erie Basin ,71,,,,,,,,
Inwood Canoe Club,73,10/22/2018,EB,,,,,,
Inwood Canoe Club,74,10/22/2018,EB,,,,,,
Dyckman Marina,76,10/14/2020,CCE,,,,,,
Inwood Canoe Club,76,,,,,,,,
Inwood Hill Boat Dock,76,10/22/2018,EB,,,,,,
Dyckman Marina,77,10/14/2020,CCE,,,,,,
Inwood Canoe Club,77,,,,,,,,
Muscota Marsh,77,10/22/2018,EB,,,,,,
Lighthouse Museum,78,9/28/2018,MB,,,,,,
South Street Seaport ,79,,EB,,,,,,
"Hudson River Park, Pier 40",81,9/12/2019,MB,,,,,,
East 90th St. Ferry Terminal ,82,,,,,,,,
East 90th St. Ferry Terminal ,83,3/20/2019,MB,,,,,,
North First Street Pier,83,,,,,,,,
Gantry Plaza State Park,84,3/26/2019,MB,,,,,,
Bush Terminal Park ,85,4/9/2019,MB,11/17/20,CCE,,,,
Bush Terminal Park ,86,4/9/2019,MB,,,,,,
"Hudson River Park, Pier 26",87,,,,,,,,
"Hudson River Park, Pier 66",90,,,,,,,,
"Hudson River Park, Pier 66",92,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,93,6/1/2019,IC,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,94,6/1/2019,IC,,,,,,
"Riverside Park, Pier I",95,,,,,,,,
"Hudson River Park, Pier 40",96,11/4/2019,,,,,,,
Lighthouse Museum,97,11/8/2019,,,,,,,
"Hudson River Park, Pier 40",99,10/24/2019,,,,,,,
Lower East Side Ecology Center,100,,,,,,,,
Lower East Side Ecology Center,101,,,,,,,,
Lower East Side Ecology Center,102,,,,,,,,
Lower East Side Ecology Center,103,,,,,,,,
Pier 101 Governor's Island,106,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,107,6/8/2018,EB,,,,,,
Anable Basin,108,unknown,EB,,,,,,
Pier 101 Governor's Island,108,6/8/2018,GK,,,,,,
